1;España;MADRID
2;Portugal;LISBOA
3;Francia;PARIS;
4;Alemania;BERLIN
5;Italia;ROMA
6;Grecia;ATHENAS
7;Brasil;BRASILIA
8;Japon;TOKYO
9;Noruega;OSLO
10;Colombia;BOGOTA
